Id,Friend,FriendName
ivanbor38,d1ms,D S.
d1ms,ivanbor38,Ivan N.
ddk91,philphil92,Philipp F.
Paralyzer45,ivanbor38,Ivan N.
philphil92,ddk91,Dmitriy D.
Ub1k,ddk91,Dmitriy D.
Id,Friend,FriendName
rusmike,ask729,stas a.
ask729,rusmike,Mike D.
Mattts,Caspar,Caspar R.
Caspar,meitschi,Salome B.
Terrence,paulmaceoin,Paul M.
erikekman,Stenbratt,Carl S.
tellmebeer,frankandeweg,Frank A.
dasA,Travlr,Travlr .
cgiffordmiears,dutchjes,Jen S.
tedsamuelsson,_mgb,Patrick 
KBW_CBL,lagrotteria,Salvatore L.
tikiwartooth,tadahster,Christian J.
wakashan,DustilynnW,Dustilynn W.
Red_lily,xavierjj,Xavier J.
justinbeer,CatherineScott9,Catherine S.
amebuttons,Mattts,Mats J.
Dennoman,Mattts,Mats J.
PMgep,Maltmogulen,Björn H.
lucasballek,Nshamburg,Nick S.
ausproBIERer,varya_b,Varya B.
ThreeFx,santacruz91,Zeno 
larshoffbeck,Mattts,Mats J.
fgalkin,Mattts,Mats J.
tomthetank,Low_is_a_lifestyle,Marco R.
